"dataset","sample_id","split"
"OSR","012_023","val"
"OSR","012_025","train"
"OSR","013_007","train"
"OSR","013_013","train"
"OSR","013_014","train"
"OSR","013_015","val"
"OSR","013_017","train"
"OSR","013_019","train"
"OSR","013_023","train"
"OSR","013_024","val"
"OSR","013_025","train"
"OSR","013_026","train"
"OSR","014_002","train"
"OSR","014_004","train"
"OSR","014_006","train"
"OSR","014_010","train"
"OSR","014_012","train"
"OSR","014_013","train"
"OSR","014_014","train"
"OSR","014_019","train"
"OSR","014_021","train"
"OSR","014_022","train"
"OSR","014_024","train"
"OSR","014_027","train"
"OSR","015_001","val"
"OSR","015_002","train"
"OSR","015_004","train"
"OSR","015_005","train"
"OSR","015_006","train"
"OSR","015_008","train"
"OSR","015_009","train"
"OSR","015_010","val"
"OSR","015_011","train"
"OSR","015_013","train"
"OSR","015_014","train"
"OSR","015_016","train"
"OSR","015_017","train"
"OSR","015_019","train"
"OSR","015_020","train"
"OSR","015_021","val"
"OSR","015_023","train"
"OSR","015_025","train"
"OSR","016_008","val"
"OSR","016_012","val"
"OSR","016_017","train"
"OSR","016_019","train"
"OSR","016_021","val"
"OSR","016_023","train"
"OSR","016_024","train"
"OSR","016_025","val"
"OSR","016_027","val"
"OSR","016_028","train"
"OSR","017_002","train"
"OSR","017_005","train"
"OSR","017_018","train"
"OSR","017_021","train"
"OSR","017_024","val"
"OSR","019_012","train"
"OSR","019_013","val"
"OSR","019_015","train"
"OSR","019_016","val"
"OSR","019_018","train"
"OSR","019_020","train"
"OSR","019_021","train"
"OSR","019_023","train"
"OSR","019_027","train"
"OSR","020_010","val"
"OSR","020_012","train"
"OSR","020_013","train"
"OSR","020_014","val"
"OSR","020_017","train"
"OSR","021_002","train"
"OSR","021_011","train"
"OSR","021_014","val"
"OSR","021_020","train"
"OSR","021_021","train"
"OSR","021_023","train"
"OSR","021_025","train"
"OSR","023_013","train"
"OSR","023_016","val"
"OSR","023_018","train"
"OSR","023_021","val"
"OSR","023_024","train"
"OSR","024_003","val"
"OSR","024_007","train"
"OSR","024_010","train"
"OSR","024_012","train"
"OSR","024_014","val"
"OSR","024_015","train"
"OSR","024_019","train"
"OSR","025_004","train"
"OSR","025_005","train"
"OSR","025_008","val"
"OSR","025_016","train"
"OSR","025_023","train"
"OSR","026_010","train"
"OSR","026_014","train"
"OSR","026_016","train"
