dataset,sample_id,original_sample_id,split,split_rule
MixedDoc,mixeddoc_00024,010101_01798,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00025,010101_01813,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00026,010101_01867,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00027,010101_01893,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00028,010101_01895,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00029,010101_01905,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00030,010101_01936,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00031,010101_01977,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00032,010101_01997,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00033,010101_02037,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00034,010101_02070,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00035,010101_02121,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00036,010101_02139,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00037,010101_02151,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00038,010101_02154,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00039,010101_02203,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00040,010102_00004,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00041,010102_00028,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00042,010102_00030,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00043,010102_00055,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00044,010102_00062,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00045,010102_00105,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00046,010102_00121,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00047,010102_00131,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00048,010102_00153,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00049,010102_00180,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00050,010102_00220,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00051,010102_00245,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00052,010102_00281,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00053,010102_00288,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00054,010102_00323,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00055,010102_00332,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00056,010102_00355,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00057,010102_00380,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00058,010102_00386,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00059,010102_00390,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00060,010102_00415,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00061,010102_00493,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00062,010102_00497,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00063,010102_00552,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00064,010102_00559,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00065,010102_00577,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00066,010102_00578,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00067,010102_00642,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00068,010102_01324,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00069,010102_01325,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00070,010102_01326,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00071,010102_01341,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00072,010102_01374,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00073,010102_01382,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00074,010102_01491,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00075,010102_01498,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00076,010102_01518,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00077,010102_01522,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00078,010102_01529,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00079,010102_01531,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00080,010103_00005,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00081,010103_00007,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00082,010103_00023,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00083,010103_00032,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00084,010103_00060,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00085,010103_00062,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00086,010103_00067,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00087,010103_00068,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00088,010103_00073,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00089,010103_00077,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00090,010103_00080,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00091,010103_00104,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00092,010103_00118,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00093,010103_00142,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00094,010103_00161,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00095,010103_00166,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00096,010103_00174,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00097,010103_00181,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00098,010103_00182,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00099,010103_00188,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00100,010103_00189,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00101,010103_00202,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00102,010103_00206,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00103,010103_00216,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00104,010103_00218,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00105,010103_00229,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00106,010103_00496,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00107,010103_00499,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00108,010103_00503,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00109,010103_00510,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00110,010103_00515,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00111,010103_00516,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00112,010103_00523,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00113,010103_00527,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00114,010103_00538,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00115,010103_00539,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00116,010103_00542,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00117,010103_00546,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00118,010103_00547,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00119,010103_00548,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00120,010103_00550,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00121,010201_00039,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00122,010201_01105,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00123,010201_01127,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00124,010201_01174,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00125,010201_01178,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00126,010201_01192,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00127,010201_01195,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00128,010201_01199,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00129,010201_01232,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00130,010201_01243,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00131,010201_01258,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00132,010201_01261,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00133,010201_01309,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00134,010201_01316,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00135,010201_01323,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00136,010203_00005,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00137,010203_00013,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00138,010203_00032,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00139,010203_00071,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00140,010203_00076,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00141,010203_00079,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00142,010203_00082,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00143,010203_00093,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00144,010203_00099,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00145,010203_00103,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00146,010203_00455,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00147,010203_00474,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00148,010203_00475,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00149,010203_00476,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00150,010203_00502,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00151,010203_00504,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00152,010203_00508,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00153,010203_00511,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00154,010203_00520,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00155,010203_00533,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00156,010203_00542,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00157,010203_00545,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00158,010203_00556,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00159,010203_00557,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00160,010203_00579,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00161,010203_00586,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00162,010203_00610,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00163,010203_00647,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00164,010203_00654,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00165,010203_00659,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00166,010203_00670,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00167,010203_00681,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00168,010203_00718,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00169,010203_00728,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00170,010203_00736,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00171,010203_00749,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00172,010302_00289,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00173,010302_00293,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00174,010302_00294,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00175,010302_00296,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00176,010302_00302,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00177,010302_00304,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00178,010302_00307,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00179,010302_00314,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00180,010302_00325,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00181,010302_00332,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00182,010302_00337,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00183,010302_00349,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00184,010302_00358,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00185,010302_00362,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00186,010302_00368,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00187,010302_00374,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00188,010302_00381,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00189,010302_00401,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00190,010302_00457,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00191,010302_00478,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00192,010302_00488,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00193,010302_00493,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00194,010302_00496,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00195,010302_00522,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00196,010302_00528,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00197,010302_00537,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00198,010302_00546,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00199,010302_00558,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00200,010302_00574,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00201,010302_00585,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00202,010302_00590,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00203,010302_00597,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00204,010302_00614,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00205,010302_00621,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00206,010302_00627,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00207,010302_00634,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00208,010302_00670,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00209,010302_00671,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00210,010303_00231,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00211,010303_00236,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00212,010303_00242,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00213,010303_00250,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00214,010303_00259,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00215,010303_00265,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00216,010303_00275,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00217,010303_00281,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00218,010303_00282,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00219,010303_00286,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00220,010303_00312,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00221,010303_00316,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00222,010303_00321,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00223,010303_00322,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00224,010303_00343,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00225,010303_00348,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00226,010303_00349,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00227,010303_00353,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00228,010303_00374,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00229,010303_00380,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00230,010303_00384,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00231,010303_00389,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00232,010303_00397,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00233,010303_00407,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00234,010303_00410,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00235,010303_00415,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00236,010303_00416,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00237,010303_00423,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00238,010303_00431,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00239,010303_00448,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00240,010303_00458,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00241,010303_00492,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00242,010303_00508,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00243,010303_00511,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00244,010303_00522,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00245,010303_00545,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00246,010303_00546,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00247,010303_00550,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00248,010303_00551,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00249,010303_00555,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00250,010403_00350,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00251,010403_00351,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00252,010403_00366,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00253,010403_00367,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00254,010403_00377,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00255,010403_00389,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00256,010403_00393,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00257,010403_00403,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00258,010403_00425,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00259,010403_00432,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00260,010403_00448,val,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00261,010403_00450,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00262,010403_00479,test,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00263,010403_00522,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00264,010403_00535,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00265,010403_00538,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00266,010403_00566,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
MixedDoc,mixeddoc_00267,010403_00585,train,"fnv1a32(sample_id)%10: train<6,val<8,test"
