"dataset","sample_id","source_page_id","split"
"kligler","natiCHW04_01","natiCHW04_01","train"
"kligler","natiCHW04_02","natiCHW04_02","train"
"kligler","natiCHW04_03","natiCHW04_03","val"
"kligler","natiCHW04_04","natiCHW04_04","train"
"kligler","natiCHW04_05","natiCHW04_05","val"
"kligler","natiCHW04_06","natiCHW04_06","train"
"kligler","natiCHW04_07","natiCHW04_07","train"
"kligler","natiCHW04_08","natiCHW04_08","train"
"kligler","natiCHW04_09","natiCHW04_09","train"
"kligler","natiCHW04_10","natiCHW04_10","train"
"kligler","natiCHW04_11","natiCHW04_11","train"
"kligler","natiCHW04_12","natiCHW04_12","val"
"kligler","natiCHW04_13","natiCHW04_13","train"
"kligler","natiCHW04_14","natiCHW04_14","train"
"kligler","natiCHW04_15","natiCHW04_15","train"
"kligler","natiCHW04_16","natiCHW04_16","train"
"kligler","natiCHW05_01","natiCHW05_01","train"
"kligler","natiCHW05_02","natiCHW05_02","train"
"kligler","natiCHW05_03","natiCHW05_03","train"
"kligler","natiCHW05_04","natiCHW05_04","train"
"kligler","natiCHW05_05","natiCHW05_05","train"
"kligler","natiCHW05_06","natiCHW05_06","train"
"kligler","natiCHW05_07","natiCHW05_07","train"
"kligler","natiCHW05_08","natiCHW05_08","train"
"kligler","natiCHW05_09","natiCHW05_09","train"
"kligler","natiCHW05_10","natiCHW05_10","train"
"kligler","natiCPO01_01","natiCPO01_01","train"
"kligler","natiCPO01_02","natiCPO01_02","val"
"kligler","natiCPO01_03","natiCPO01_03","train"
"kligler","natiCPO01_04","natiCPO01_04","train"
"kligler","natiCPO01_05","natiCPO01_05","train"
"kligler","natiCPO01_06","natiCPO01_06","train"
"kligler","natiCPO01_07","natiCPO01_07","train"
"kligler","natiCPO01_08","natiCPO01_08","train"
"kligler","natiCPO01_09","natiCPO01_09","train"
"kligler","natiCPO01_10","natiCPO01_10","train"
"kligler","natiCPO01_11","natiCPO01_11","train"
"kligler","natiCPO01_12","natiCPO01_12","train"
"kligler","natiCPO02_01","natiCPO02_01","train"
"kligler","natiCPO02_02","natiCPO02_02","val"
"kligler","natiCPO02_03","natiCPO02_03","train"
"kligler","natiCPO02_04","natiCPO02_04","train"
"kligler","natiCPO02_05","natiCPO02_05","train"
"kligler","natiCPO02_06","natiCPO02_06","train"
"kligler","natiCPO02_07","natiCPO02_07","train"
"kligler","natiCPO02_08","natiCPO02_08","train"
"kligler","natiCPO02_09","natiCPO02_09","train"
"kligler","natiCPO02_10","natiCPO02_10","train"
"kligler","natiCPO03_01","natiCPO03_01","val"
"kligler","natiCPO03_02","natiCPO03_02","train"
"kligler","natiCPO03_03","natiCPO03_03","train"
"kligler","natiCPO03_04","natiCPO03_04","train"
"kligler","natiCPO03_05","natiCPO03_05","train"
"kligler","natiCPO03_06","natiCPO03_06","train"
"kligler","natiCPO03_07","natiCPO03_07","train"
"kligler","natiCPO03_08","natiCPO03_08","train"
"kligler","natiCPO03_09","natiCPO03_09","val"
"kligler","natiCPO03_10","natiCPO03_10","train"
"kligler","natiCPO03_11","natiCPO03_11","train"
"kligler","natiCPO03_12","natiCPO03_12","train"
"kligler","natiCPO03_13","natiCPO03_13","train"
"kligler","natiCPO04_01","natiCPO04_01","train"
"kligler","natiCPO04_02","natiCPO04_02","train"
"kligler","natiCPO04_03","natiCPO04_03","train"
"kligler","natiCPO04_04","natiCPO04_04","val"
"kligler","natiCPO04_05","natiCPO04_05","train"
"kligler","natiCPO04_06","natiCPO04_06","train"
"kligler","natiCPO04_07","natiCPO04_07","train"
"kligler","natiCPO04_08","natiCPO04_08","val"
"kligler","natiCPO05_01","natiCPO05_01","val"
"kligler","natiCPO05_02","natiCPO05_02","train"
"kligler","natiCPO05_03","natiCPO05_03","train"
"kligler","natiCPO05_04","natiCPO05_04","train"
"kligler","natiCPO05_05","natiCPO05_05","train"
"kligler","natiCPO05_06","natiCPO05_06","train"
"kligler","natiCPO05_07","natiCPO05_07","train"
"kligler","natiCPO05_08","natiCPO05_08","train"
"kligler","natiCPO05_09","natiCPO05_09","train"
"kligler","natiCPO06_01","natiCPO06_01","train"
"kligler","natiCPO06_02","natiCPO06_02","train"
"kligler","natiCPO06_03","natiCPO06_03","train"
"kligler","natiCPO06_04","natiCPO06_04","val"
"kligler","natiCPO06_05","natiCPO06_05","val"
"kligler","natiCPO06_06","natiCPO06_06","val"
"kligler","natiCPO06_07","natiCPO06_07","train"
"kligler","natiCPO06_08","natiCPO06_08","train"
"kligler","natiCPO06_09","natiCPO06_09","train"
"kligler","natiCPO06_10","natiCPO06_10","val"
"kligler","natiCPO06_11","natiCPO06_11","train"
"kligler","natiCPO07_01","natiCPO07_01","train"
"kligler","natiCPO07_02","natiCPO07_02","train"
"kligler","natiCPO07_03","natiCPO07_03","val"
"kligler","natiCPO07_04","natiCPO07_04","train"
"kligler","natiCPO07_05","natiCPO07_05","train"
"kligler","natiCPO07_06","natiCPO07_06","train"
"kligler","natiCPO07_07","natiCPO07_07","train"
"kligler","natiCPO07_08","natiCPO07_08","train"
"kligler","natiCPO07_09","natiCPO07_09","val"
"kligler","natiCPO07_10","natiCPO07_10","train"
"kligler","natiCPO07_11","natiCPO07_11","train"
"kligler","natiCPO07_12","natiCPO07_12","val"
"kligler","natiCPO07_13","natiCPO07_13","train"
"kligler","natiCPO07_14","natiCPO07_14","train"
"kligler","natiCPO08_01","natiCPO08_01","val"
"kligler","natiCPO08_02","natiCPO08_02","val"
"kligler","natiCPO08_03","natiCPO08_03","train"
"kligler","natiCPO08_04","natiCPO08_04","train"
"kligler","natiCPO08_05","natiCPO08_05","val"
"kligler","natiCPO08_06","natiCPO08_06","val"
"kligler","natiCPO08_07","natiCPO08_07","train"
"kligler","natiCPO08_08","natiCPO08_08","train"
"kligler","natiCPO08_09","natiCPO08_09","train"
"kligler","natiCPO08_10","natiCPO08_10","train"
"kligler","natiCPO08_11","natiCPO08_11","train"
"kligler","natiCPO08_12","natiCPO08_12","train"
"kligler","natiCPO08_13","natiCPO08_13","train"
"kligler","natiCPO08_14","natiCPO08_14","train"
"kligler","natiCPR01_01","natiCPR01_01","val"
"kligler","natiCPR01_02","natiCPR01_02","train"
"kligler","natiCPR01_03","natiCPR01_03","train"
"kligler","natiCPR01_04","natiCPR01_04","train"
"kligler","natiCPR01_05","natiCPR01_05","train"
"kligler","natiCPR01_06","natiCPR01_06","train"
"kligler","natiCPR01_07","natiCPR01_07","train"
"kligler","natiCPR01_08","natiCPR01_08","train"
"kligler","natiCPR01_09","natiCPR01_09","train"
"kligler","natiCPR01_10","natiCPR01_10","val"
"kligler","natiCPR01_11","natiCPR01_11","val"
"kligler","natiCPR01_12","natiCPR01_12","train"
"kligler","natiCPR01_13","natiCPR01_13","train"
"kligler","natiCPR01_14","natiCPR01_14","val"
"kligler","natiCPR02_01","natiCPR02_01","train"
"kligler","natiCPR02_02","natiCPR02_02","train"
"kligler","natiCPR02_03","natiCPR02_03","train"
"kligler","natiCPR02_04","natiCPR02_04","train"
"kligler","natiCPR02_05","natiCPR02_05","train"
"kligler","natiCPR02_06","natiCPR02_06","train"
"kligler","natiCPR02_07","natiCPR02_07","train"
"kligler","natiCPR02_08","natiCPR02_08","train"
"kligler","natiCPR02_09","natiCPR02_09","train"
"kligler","natiCPR02_10","natiCPR02_10","val"
"kligler","natiCPR02_11","natiCPR02_11","train"
"kligler","natiCPR02_12","natiCPR02_12","val"
"kligler","natiCPR03_01","natiCPR03_01","train"
"kligler","natiCPR03_02","natiCPR03_02","train"
"kligler","natiCPR03_03","natiCPR03_03","train"
"kligler","natiCPR03_04","natiCPR03_04","train"
"kligler","natiCPR03_05","natiCPR03_05","train"
"kligler","natiCPR03_06","natiCPR03_06","train"
"kligler","natiCPR03_07","natiCPR03_07","val"
"kligler","natiCPR03_08","natiCPR03_08","train"
"kligler","natiCPR03_09","natiCPR03_09","val"
"kligler","natiCPR03_10","natiCPR03_10","train"
"kligler","natiCPR03_11","natiCPR03_11","val"
"kligler","natiCPR04_01","natiCPR04_01","train"
"kligler","natiCPR04_02","natiCPR04_02","train"
"kligler","natiCPR04_03","natiCPR04_03","train"
"kligler","natiCPR04_04","natiCPR04_04","train"
"kligler","natiCPR04_05","natiCPR04_05","train"
"kligler","natiCPR04_06","natiCPR04_06","val"
"kligler","natiCPR04_07","natiCPR04_07","train"
"kligler","natiCPR04_08","natiCPR04_08","train"
"kligler","natiCPR04_09","natiCPR04_09","val"
"kligler","natiCPR04_10","natiCPR04_10","train"
"kligler","natiCPR04_11","natiCPR04_11","val"
"kligler","natiCPR04_12","natiCPR04_12","train"
"kligler","natiCPR05_01","natiCPR05_01","train"
"kligler","natiCPR05_02","natiCPR05_02","train"
"kligler","natiCPR05_03","natiCPR05_03","val"
"kligler","natiCPR05_04","natiCPR05_04","train"
"kligler","natiCPR05_05","natiCPR05_05","train"
"kligler","natiCPR05_06","natiCPR05_06","train"
"kligler","natiCPR05_07","natiCPR05_07","val"
"kligler","natiCPR05_08","natiCPR05_08","train"
"kligler","natiCPR05_09","natiCPR05_09","train"
"kligler","natiCPR05_10","natiCPR05_10","train"
"kligler","natiCPR05_11","natiCPR05_11","train"
"kligler","natiCPR05_12","natiCPR05_12","val"
"kligler","natiCSY01_01","natiCSY01_01","train"
"kligler","natiCSY01_02","natiCSY01_02","val"
"kligler","natiCSY01_03","natiCSY01_03","train"
"kligler","natiCSY01_04","natiCSY01_04","val"
"kligler","natiCSY01_05","natiCSY01_05","train"
"kligler","natiCSY01_06","natiCSY01_06","train"
"kligler","natiCSY01_07","natiCSY01_07","val"
"kligler","natiCSY01_08","natiCSY01_08","val"
"kligler","natiCSY01_09","natiCSY01_09","train"
"kligler","natiCSY01_10","natiCSY01_10","train"
"kligler","natiCSY01_11","natiCSY01_11","val"
"kligler","natiCSY01_12","natiCSY01_12","val"
"kligler","natiCSY01_13","natiCSY01_13","train"
"kligler","natiCSY01_14","natiCSY01_14","train"
"kligler","natiCSY01_15","natiCSY01_15","val"
"kligler","natiCSY01_16","natiCSY01_16","train"
"kligler","natiCSY02_01","natiCSY02_01","val"
"kligler","natiCSY02_02","natiCSY02_02","val"
"kligler","natiCSY02_03","natiCSY02_03","train"
"kligler","natiCSY02_04","natiCSY02_04","train"
"kligler","natiCSY02_05","natiCSY02_05","train"
"kligler","natiCSY02_06","natiCSY02_06","train"
"kligler","natiCSY02_07","natiCSY02_07","train"
"kligler","natiCSY02_08","natiCSY02_08","train"
"kligler","natiCSY02_09","natiCSY02_09","train"
"kligler","natiCSY02_10","natiCSY02_10","val"
"kligler","natiCSY03_01","natiCSY03_01","train"
"kligler","natiCSY03_02","natiCSY03_02","val"
"kligler","natiCSY03_03","natiCSY03_03","val"
"kligler","natiCSY03_04","natiCSY03_04","train"
"kligler","natiCSY03_05","natiCSY03_05","val"
"kligler","natiCSY03_06","natiCSY03_06","val"
"kligler","natiCSY03_07","natiCSY03_07","train"
"kligler","natiCSY03_08","natiCSY03_08","train"
"kligler","natiCSY03_09","natiCSY03_09","train"
"kligler","natiCSY04_01","natiCSY04_01","train"
"kligler","natiCSY04_02","natiCSY04_02","train"
"kligler","natiCSY04_03","natiCSY04_03","train"
"kligler","natiCSY04_04","natiCSY04_04","train"
"kligler","natiCSY04_05","natiCSY04_05","train"
"kligler","natiCSY04_06","natiCSY04_06","val"
"kligler","natiCSY04_07","natiCSY04_07","train"
"kligler","natiCSY04_08","natiCSY04_08","train"
"kligler","natiCSY04_09","natiCSY04_09","train"
"kligler","natiCSY04_10","natiCSY04_10","train"
"kligler","natiCSY04_11","natiCSY04_11","train"
"kligler","natiCSY04_12","natiCSY04_12","train"
"kligler","natiCSY04_13","natiCSY04_13","train"
"kligler","natiCSY04_14","natiCSY04_14","val"
"kligler","natiCSY04_15","natiCSY04_15","val"
"kligler","natiCSY04_16","natiCSY04_16","train"
"kligler","natiCSY04_17","natiCSY04_17","train"
"kligler","natiCSY05_01","natiCSY05_01","train"
"kligler","natiCSY05_02","natiCSY05_02","train"
"kligler","natiCSY05_03","natiCSY05_03","train"
"kligler","natiCSY05_04","natiCSY05_04","train"
"kligler","natiCSY05_05","natiCSY05_05","train"
"kligler","natiCSY05_06","natiCSY05_06","train"
"kligler","natiCSY05_07","natiCSY05_07","train"
"kligler","natiCSY05_08","natiCSY05_08","train"
"kligler","natiCSY05_09","natiCSY05_09","train"
"kligler","natiCSY05_10","natiCSY05_10","train"
"kligler","natiCSY05_11","natiCSY05_11","train"
"kligler","natiCSY05_12","natiCSY05_12","train"
"kligler","natiCSY06_01","natiCSY06_01","train"
"kligler","natiCSY06_02","natiCSY06_02","val"
"kligler","natiCSY06_03","natiCSY06_03","train"
"kligler","natiCSY06_04","natiCSY06_04","val"
"kligler","natiCSY06_05","natiCSY06_05","train"
"kligler","natiCSY06_06","natiCSY06_06","train"
"kligler","natiCSY06_07","natiCSY06_07","train"
"kligler","natiCSY06_08","natiCSY06_08","train"
"kligler","natiCSY06_09","natiCSY06_09","train"
"kligler","natiCSY06_10","natiCSY06_10","train"
"kligler","natiCSY06_11","natiCSY06_11","val"
"kligler","natiCSY06_12","natiCSY06_12","val"
"kligler","natiCSY06_13","natiCSY06_13","train"
"kligler","natiCSY06_14","natiCSY06_14","val"
"kligler","natiCSY06_15","natiCSY06_15","train"
"kligler","natiCSY06_16","natiCSY06_16","train"
"kligler","natiCSY06_17","natiCSY06_17","train"
"kligler","natiCSY07_01","natiCSY07_01","train"
"kligler","natiCSY07_02","natiCSY07_02","train"
"kligler","natiCSY07_03","natiCSY07_03","train"
"kligler","natiCSY07_04","natiCSY07_04","train"
"kligler","natiCSY07_05","natiCSY07_05","train"
"kligler","natiCSY07_06","natiCSY07_06","train"
"kligler","natiCSY07_07","natiCSY07_07","train"
"kligler","natiCSY07_08","natiCSY07_08","val"
"kligler","natiCSY07_09","natiCSY07_09","train"
"kligler","natiCSY07_10","natiCSY07_10","train"
"kligler","natiCSY07_11","natiCSY07_11","train"
"kligler","natiCSY07_12","natiCSY07_12","train"
"kligler","natiCSY07_13","natiCSY07_13","val"
